(128, 162)
(128, 164)
(130, 162)
(130, 164)
(130, 166)
(130, 178)
(132, 164)
(132, 166)
(132, 178)
(134, 178)
(144, 178)
(150, 192)
(170, 122)
(170, 124)
(248, 72)
(248, 74)
(250, 70)
(250, 72)
(250, 74)
(250, 88)
(252, 68)
(252, 70)
(252, 72)
(252, 74)
(252, 88)
(254, 54)
(254, 68)
(254, 70)
(254, 72)
(254, 74)
(254, 76)
(254, 88)
(254, 104)
(256, 54)
(256, 56)
(256, 58)
(256, 68)
(256, 70)
(256, 72)
(256, 74)
(256, 76)
(256, 88)
(256, 102)
(256, 104)
(258, 56)
(258, 58)
(258, 68)
(258, 70)
(258, 72)
(258, 74)
(258, 76)
(258, 88)
(260, 54)
(260, 56)
(260, 58)
(260, 68)
(260, 70)
(260, 72)
(260, 74)
(260, 76)
(260, 86)
(260, 88)
(262, 68)
(262, 70)
(262, 72)
(262, 74)
(262, 76)
(262, 78)
(262, 84)
(262, 86)
(262, 88)
(264, 68)
(264, 70)
(264, 72)
(264, 74)
(264, 76)
(264, 78)
(264, 86)
(264, 88)
(266, 70)
(266, 72)
(266, 74)
(266, 76)
(266, 78)
(268, 76)
